Latitude,Longitude,Platform Num,Road,Routes
172.661626,-43.52516,51029,Woodham Rd near Avonside Dr,Or
172.552805,-43.554486,51539,The Runway near Kittyhawk Ave,100
172.5073985,-43.51254049,53799,Yaldhurst,86
172.29863,-43.616364,,Burnham,120|125|130|140|820|P|Y
172.624552,-43.57409675,32024,Hackthorne Rd near Gwynfa Ave,B
172.6553461,-43.4972825,24186,Emmett St near Bellbrook Cres,44
172.7117051,-43.60336984,41831,Brittan Tce near Voelas Rd,28
172.7162995,-43.56937725,28443,Major Hornbrook Rd near Belleview Tce,140
172.55635,-43.553409,53440,Corsair Dr - The Landing,60
172.716915,-43.56577451,32167,Major Hornbrook Rd near Muritai Tce,140
172.7294272,-43.50300059,12145,Marine Pde near Lonsdale St,135
172.653231,-43.5081475,39710,Shirley Rd near Slater St,100|O|Or
172.699446,-43.480777,51659,Inwoods Rd near Jade Pl,O
172.6263949,-43.45411369,12788,Main North Rd near Lagan St,95|B
172.5561106,-43.51082709,10214,Avonhead Mall,125|P
172.5597524,-43.53479255,25429,Craven St near Algidus St,130
172.6846998,-43.55028407,15582,Ferry Rd near Catherine St,P
172.644458,-43.52991,46133,Gloucester St near Barbadoes St,O|Y
172.6261569,-43.4787452,29937,Daniels Rd near Rathlin St,125
172.5981441,-43.52503828,13231,Kahu Rd near Girvan St,130
172.7211523,-43.49170175,21791,Effingham St near Surfers Pl,135
172.5940582,-43.31850444,26601,South Blt near King St,B
172.6757223,-43.55026695,23870,Radley St near Tavender St,155
172.547206,-43.54263177,11977,Harvard Ave and Main South Rd,100|80|87|Y
172.5920425,-43.52214248,10061,Kotare St near Medbury Tce,130
172.507291,-43.543477,45892,Halswell Junction Rd near Foremans Rd,Y
172.5934428,-43.48117724,19087,Highsted Rd,28
172.694715,-43.572189,42169,Port Hills Rd near Horotane Valley Rd,28
172.7300833,-43.5138348,40254,Rodney St near Union St,60
172.6569705,-43.52385238,40644,Stanmore Rd near Draper St,60|Or
172.710584,-43.57574661,42111,Heathcote,28
172.6757293,-43.56224578,40040,Port Hills Rd near Curries Rd,28
172.7186617,-43.48628021,12132,Beach Rd near Britannia St,80
172.5739511,-43.49288249,16554,Wairakei Rd near Breens Rd,17
172.6152681,-43.4583976,15970,Northwood,28
172.5846314,-43.29197435,54679,Enverton Dr near Grosvenor Lane,B
172.593892,-43.29353874,44261,Ashley St near Rickton Pl,B
172.6620672,-43.50094089,12243,Marshland Rd near Joy St,135|60
172.7567205,-43.56683143,42577,Marriner St near Main Rd,P
172.6586595,-43.54021516,44183,Ferry Rd near Phillipstown Cts,140|P
172.6458562,-43.51544123,24814,Barbadoes St near Canon St,44
172.654416,-43.56466949,32864,Ramahana Rd near Aotea Tce,17
172.385204,-43.613504,52785,Dynes Rd near Faringdon Blvd,820|85
172.7412091,-43.53859267,26311,Caspian St near Rocking Horse Rd,60
172.6322306,-43.51174011,38522,Springfield Rd near Kinloch St,100
172.5961094,-43.5246741,13220,Kotare St near Kahu Rd,130
172.7417989,-43.56500981,28848,Main Rd near Wakatu Ave,P
172.6525402,-43.56668913,32935,Huntsbury Ave,17
172.5695177,-43.49005294,16499,Wairakei Rd near Abros Pl,17
172.6834442,-43.48881684,18005,Burwood Rd near Newhaven St,O
172.5731195,-43.53198207,38871,Church Corner,100|130|140|86|87|Y
172.7126597,-43.48635652,13713,Beach Rd near Bower Ave,135|80
172.5679679,-43.58095554,33865,Halswell Rd near Nicholls Rd,100
172.5484981,-43.51087598,10365,Kedleston Dr near Audley Gate,130
172.5699404,-43.58411428,22276,Halswell Rd near Village Lane,100|125
172.6110564,-43.47083859,29327,Regent's Park Dr near Primrose Hill Ln,28
172.7163718,-43.48629228,13721,Beach Rd near Effingham St,135|80
172.6530599,-43.55486008,11954,St Martins Rd near Wilding St,Or
172.6488766,-43.52989348,14024,Fitzgerald Ave,O|Y
172.6860089,-43.57031762,42097,Port Hills Rd near Vega Pl,28
172.6172853,-43.45935231,43210,Northwood Blvd near Mounter Ave,28
172.6948134,-43.54903286,41087,Ti Rakau Dr near Shearwater Dr,140
172.5270088,-43.53026473,14599,Hei Hei Rd near Buchanans Rd,130
172.546373,-43.577592,53591,Longhurst Medical Centre,O
172.589884,-43.312423,51306,Bush St near Watson Pl,B
172.6263826,-43.47864036,29985,Daniels Rd near Inca Pl,125
172.6654544,-43.49464893,18634,Lake Terrace Rd near Fairway Dr,60
172.6337451,-43.55060521,33162,Milton St near Antrim St,45
172.6782308,-43.50540948,39320,New Brighton Rd near Queensbury St,O
172.6217372,-43.5448289,33655,Selwyn St near Fairfield Ave,60
172.606105,-43.48127182,17380,Veitches Rd near Cavendish Rd,107
172.6224864,-43.53732207,14114,Christchurch Hospital (Hagley Ave),60|80|O
172.6061134,-43.48365916,19975,Cavendish Rd near Northcote Rd,107
172.6356826,-43.53646878,14263,St Asaph St near Colombo St,60|80|86|87|O|P|Y
172.6477038,-43.49537022,32076,Innes Rd near Hills Rd,44|Or
172.5815299,-43.50459049,39673,Greers Rd near Clyde Rd,120|Or
172.557485,-43.52738129,24805,Yaldhurst Rd near Bucknell St,140|86
172.3126806,-43.61269202,50211,Aylesbury Rd near Runners Rd,820
172.6301816,-43.53648729,14271,St Asaph St near Montreal St,60|80|86|87|O|P|Y
172.6088896,-43.45899601,40784,Hussey Rd,107
172.6167393,-43.47723289,13347,Main North Rd near Manse Pl,95|B
172.6515971,-43.51637746,20152,Hills Rd near Gresford St,O
172.6462934,-43.56791377,11908,Centaurus Rd near Whaka Tce,Or
172.6265291,-43.55369337,29050,Selwyn St near Dobson St,60
172.6647855,-43.35463681,15839,Main North Rd near Lees Rd,95
172.2984451,-43.61618237,17834,Burnham,820
172.6451847,-43.53644889,14665,St Asaph St near Barbadoes St,80
172.7604482,-43.5704102,42531,Nayland St near Stoke St,P
172.5723122,-43.51789708,13055,Waimairi Rd near Maydell St,130|Or
172.5644865,-43.48916359,16475,Wairakei Rd near Sheffield Cres,17|P
172.6096929,-43.55782671,22194,Lyttelton St near Glynne Cres,120
172.6571486,-43.53136283,53562,Stanmore Rd near Worcester St,60
172.4680162,-43.55635307,50253,Jones Rd (Templeton),Y
172.7318418,-43.52110938,26542,Estuary Rd near Bellamy Ave,60
172.6369774,-43.56023019,32011,Colombo St near Fisher Ave,B
172.6375565,-43.50804742,29362,Cranford St near Berwick St,28
172.346275,-43.595408,52728,Two Chain Rd near Walkers Rd,820
172.6926163,-43.52227366,40306,Pages Rd near Ottawa Rd,Y
172.7213001,-43.56399285,30880,Soleares Ave near Santa Maria Ave,140
172.7088296,-43.56375903,42327,Bridle Path Rd near Ferrymead Park Dr,155
172.7107741,-43.57149743,42389,Bridle Path Rd near Hammerton Ln,155
172.6774661,-43.52512144,36862,Woodham Rd near Carnarvon St,Or
172.5962744,-43.55984359,33143,Mathers Rd near Waters St,60
172.5741003,-43.4996463,10493,Cranbrook Ave near Appleby Cres,120
172.385599,-43.593482,17997,Rolleston Dr near Lincoln Rolleston Rd,Y
172.6065952,-43.56185833,33094,Hoon Hay Rd near Maryhill Ave,60
172.6460355,-43.51553276,24402,Barbadoes St near Canon St,44
172.6564289,-43.5180271,40628,Stanmore Rd near Siddal Pl,60|Or
172.6739898,-43.55236679,23453,Radley St near Chichester St,155
172.6361311,-43.3803107,53331,Silverstream,B
172.3856738,-43.59871516,17783,Tennyson St near Michelangelo Dr,820|85|Y
172.6970459,-43.4717336,20507,Broadhaven Ave near Queenspark Dr,O
172.581081,-43.48524,42857,Harewood Rd near Breens Rd,125|28
172.6497274,-43.53644452,14677,St Asaph St near Fitzgerald Ave,80
172.6162497,-43.53146089,14715,Riccarton Ave,80|86|87|P|Y
172.6121187,-43.56000413,22295,Lyttelton St near Hennessy Pl,120
172.618638,-43.50885617,12987,Papanui Rd near Heaton St,95|B
172.6036856,-43.5093497,16260,Wairakei Rd near Idris Rd,17
172.5960322,-43.53309375,28587,Matipo St near Peverel St,140
172.6100207,-43.52890847,17207,Riccarton Rd near Bartlett St,130|80|86|87|P|Y
172.6365091,-43.51870532,19376,Colombo St near Purchas St,28
172.6392153,-43.3840467,53417,Island Rd near Barnard St,B
172.619168,-43.539853,36022,Moorhouse Ave near Hagley Ave,140|O
172.6975569,-43.49314934,39061,Travis Rd near Travis Country Dr,60
172.6615218,-43.49339909,46903,Marshland Rd,135
172.7351919,-43.5589586,28807,Main Rd near Raekura Pl,P
172.5714394,-43.49118421,16633,Wairakei Rd near Todd Ave,17
172.3885064,-43.61661917,54045,Faringdon (Blvd),85
172.6202011,-43.53331362,17224,Riccarton Ave near Hagley Ave,80|86|87|P|Y
172.6957046,-43.48045453,18652,Mairehau Rd near Daytona Pl,135|O
172.6223949,-43.53396895,17230,Christchurch Hospital ( Ricc Ave),80|86|87|P|Y
172.5395569,-43.54307398,38956,Main South Rd near Garvins Rd,87|Y
172.6508297,-43.52553683,28491,Fitzgerald Ave near River Rd,O
172.6263837,-43.51839083,12742,Papanui Rd near Clare Rd,95|B
172.6503373,-43.52280729,28784,Fitzgerald Ave near Alexandra St,O
172.7503419,-43.55644706,26213,Southshore,60
172.6280655,-43.52538923,14743,Park Tce near Peterborough St,17
172.664894,-43.525165,51038,Woodham Rd near Patten St,Or
172.6275417,-43.52950334,53185,Rolleston Ave near Gloucester St,17
172.6204568,-43.53322367,17248,Riccarton Ave near Hagley Ave,80|86|87|P|Y
172.378743,-43.584136,52759,Link Dve,820
172.6464836,-43.40591385,12340,Main North Rd near Doubledays Rd,95|B
172.6622128,-43.37936044,15012,Williams St near Davie St,95
172.627835,-43.543128,29468,Antigua St near Disraeli St,120
172.567916,-43.59109437,33981,Halswell Rd near O'halloran Dr,100
172.5552153,-43.51266992,10320,Withells Rd near Apsley Dr,125|P
172.566879,-43.57025123,25866,Dunbars Rd near Balkwell St,100
172.5936365,-43.29314298,44242,Ashley St near Coldstream Rd,B
172.7185721,-43.50129981,39144,Keyes Rd near Gresham Tce,60
172.566433,-43.56244,51093,Aidenfield (near McMahon Dr),60
172.5585383,-43.47919038,45761,Harewood Rd near Waimakariri Rd,125
172.7222,-43.605294,50810,Lyttelton Jetty,F
172.7197197,-43.60097518,42239,Winchester St near Coleridge Tce,155|28
172.7303726,-43.50549168,18235,Marine Pde near Hawke St,135
172.6198961,-43.51023312,12483,Papanui Rd near Murray Pl,100|95|B
172.579179,-43.563093,54124,Halswell Rd near Augustine Drive,60|O
172.6160997,-43.53112416,17253,Riccarton Ave,80|86|87|P|Y
